,Province,TotalCases,WeeklyCases,TotalDeaths,WeeklyDeaths,TotalHospitalized,WeeklyHospitalized,TotalICU,WeeklyICU,Year,Month,Day
2227,AB,628150,423,5536,26,622,-61,19,-3,2023,02,17
2241,AB,628572,422,5556,20,575,-47,16,-3,2023,02,24
2255,AB,628947,375,5602,46,554,-21,15,-1,2023,03,03
2269,AB,629269,322,5622,20,518,-36,12,-3,2023,03,10
51,BC,1,1,0,0,0,0,0,0,2020,01,31
65,BC,4,3,0,0,0,0,0,0,2020,02,07
79,BC,5,1,0,0,0,0,0,0,2020,02,14
93,BC,6,1,0,0,0,0,0,0,2020,02,21
157,BC,7,1,0,0,0,0,0,0,2020,02,28
181,BC,21,14,0,0,0,0,0,0,2020,03,06
209,BC,64,43,1,1,0,0,0,0,2020,03,13
261,BC,348,284,9,8,0,0,0,0,2020,03,20
298,BC,792,444,16,7,0,0,0,0,2020,03,27
323,BC,1174,382,35,19,0,0,0,0,2020,04,03
337,BC,1410,236,55,20,317,317,67,67,2020,04,10
172,BC,1618,208,78,23,119,-198,52,-15,2020,04,17
200,BC,1853,235,98,20,96,-23,41,-11,2020,04,24
221,BC,2145,292,112,14,79,-17,24,-17,2020,05,01
235,BC,2315,170,127,15,73,-6,20,-4,2020,05,08
111,BC,2407,92,140,13,51,-22,12,-8,2020,05,15
125,BC,2507,100,155,15,41,-10,8,-4,2020,05,22
139,BC,2562,55,164,9,34,-7,6,-2,2020,05,29
244,BC,2632,70,167,3,21,-13,5,-1,2020,06,05
267,BC,2709,77,168,1,12,-9,3,-2,2020,06,12
291,BC,2790,81,168,0,11,-1,6,3,2020,06,19
319,BC,2878,88,174,6,17,6,5,-1,2020,06,26
9,BC,2947,69,177,3,19,2,2,-3,2020,07,03
23,BC,3053,106,187,10,16,-3,5,3,2020,07,10
37,BC,3198,145,189,2,18,2,2,-3,2020,07,17
348,BC,3419,221,191,2,12,-6,3,1,2020,07,24
365,BC,3641,222,195,4,5,-7,2,-1,2020,07,31
379,BC,3934,293,195,0,11,6,4,2,2020,08,07
393,BC,4358,424,196,1,12,1,4,0,2020,08,14
418,BC,4915,557,202,6,13,1,5,1,2020,08,21
439,BC,5496,581,204,2,23,10,7,2,2020,08,28
453,BC,6162,666,211,7,31,8,12,5,2020,09,04
467,BC,6962,800,213,2,49,18,10,-2,2020,09,11
516,BC,7842,880,223,10,59,10,20,10,2020,09,18
613,BC,8641,799,230,7,62,3,19,-1,2020,09,25
659,BC,9381,740,238,8,63,1,16,-3,2020,10,02
486,BC,10185,804,245,7,68,5,19,3,2020,10,09
536,BC,11189,1004,251,6,72,4,26,7,2020,10,16
550,BC,12554,1365,256,5,75,3,24,-2,2020,10,23
564,BC,14381,1827,263,7,78,3,25,1,2020,10,30
761,BC,17149,2768,275,12,104,26,28,3,2020,11,06
775,BC,20985,3836,290,15,167,63,50,22,2020,11,13
789,BC,25172,4187,331,41,227,60,57,7,2020,11,20
404,BC,30884,5712,395,64,301,74,69,12,2020,11,27
479,BC,36132,5248,492,97,338,37,76,7,2020,12,04
568,BC,40797,4665,598,106,342,4,87,11,2020,12,11
589,BC,45400,4603,724,126,356,14,92,5,2020,12,18
501,BC,48609,3209,808,84,341,-15,78,-14,2020,12,25
602,BC,51990,3381,901,93,374,33,76,-2,2021,01,01
641,BC,56632,4642,988,87,358,-16,75,-1,2021,01,08
584,BC,60117,3485,1047,59,349,-9,68,-7,2021,01,15
632,BC,63484,3367,1128,81,315,-34,74,6,2021,01,22
679,BC,66779,3295,1189,61,292,-23,74,0,2021,01,29
693,BC,69716,2937,1246,57,253,-39,70,-4,2021,02,05
707,BC,72750,3034,1288,42,226,-27,61,-9,2021,02,12
721,BC,75835,3085,1327,39,217,-9,61,0,2021,02,19
735,BC,79194,3359,1355,28,232,15,63,2,2021,02,26
749,BC,83107,3913,1380,25,255,23,66,3,2021,03,05
932,BC,86867,3760,1397,17,255,0,67,1,2021,03,12
1043,BC,90786,3919,1421,24,292,37,85,18,2021,03,19
1120,BC,95677,4891,1449,28,294,2,81,-4,2021,03,26
826,BC,100880,5203,1463,14,296,2,79,-2,2021,04,02
935,BC,109540,8660,1495,32,332,36,102,23,2021,04,09
1035,BC,117080,7540,1530,35,425,93,127,25,2021,04,16
1074,BC,123758,6678,1554,24,486,61,160,33,2021,04,23
1125,BC,129482,5724,1581,27,511,25,174,14,2021,04,30
1166,BC,134341,4859,1602,21,445,-66,157,-17,2021,05,07
1180,BC,138304,3963,1634,32,387,-58,141,-16,2021,05,14
845,BC,141373,3069,1667,33,319,-68,107,-34,2021,05,21
951,BC,143581,2208,1692,25,292,-27,79,-28,2021,05,28
1052,BC,145049,1468,1710,18,224,-68,59,-20,2021,06,04
1130,BC,146176,1127,1730,20,162,-62,45,-14,2021,06,11
820,BC,146902,726,1740,10,128,-34,48,3,2021,06,18
862,BC,147418,516,1749,9,108,-20,37,-11,2021,06,25
876,BC,147705,287,1756,7,99,-9,30,-7,2021,07,02
805,BC,148031,326,1760,4,73,-26,19,-11,2021,07,09
948,BC,148331,300,1761,1,60,-13,12,-7,2021,07,16
997,BC,148842,511,1767,6,46,-14,17,5,2021,07,23
1080,BC,149889,1047,1771,4,47,1,16,-1,2021,07,30
899,BC,151839,1950,1772,1,52,5,24,8,2021,08,06
962,BC,155079,3240,1779,7,82,30,39,15,2021,08,13
976,BC,158919,3840,1785,6,129,47,59,20,2021,08,20
990,BC,163560,4641,1807,22,159,30,84,25,2021,08,27
1049,BC,168325,4765,1827,20,215,56,118,34,2021,09,03
1127,BC,173158,4833,1856,29,281,66,135,17,2021,09,10
